User ID,Dataset,Date,Tweet,"1=postive, 2=N, 3=Negative, 0=unknown","EmotionCode (1= Anger/insult/dogmatic/judgemental2= fear/stressed out/depressed/sad/bummed out/embarrassed, 3= loving/kind/supportive/inspired/helpful/longing/hopeful, 4 = happy/joking/excited/turned on 5= Neutral,statement 0 = don't know/not relevant/sarcastic without enough info on emotion",
_ChainGangRick,1,11/2/15 6:28,Definitely bro bro. I miss it  https://t.co/MzpvrfbAj3,1,3,
_ChainGangRick,1,11/2/15 6:31,@MarcelloCRT much love! You should see if any other people wanna join sometime,1,3,
ChristyLovee_,1,11/7/15 8:48,Gotta get back on my school ish,2,5,
_ChainGangRick,1,11/2/15 6:57,@MarcelloCRT tell them to get it together and step their game up @alovehatethang @CydnieeC,2,5,
_ChainGangRick,1,11/2/15 7:18,@MarcelloCRT oh alright that.,2,5,
_ChainGangRick,1,11/2/15 7:19,@MarcelloCRT so everytime I'm about to tweet you back jensons twitter name pops up in my autofill for the next word ya know? Lol,2,5,
_ChainGangRick,1,11/2/15 8:36,Unthinkable by Alicia Keys and Drake will always be #1,1,3,
_ChainGangRick,1,11/2/15 9:13,@CydnieeC @MarcelloCRT @alovehatethang lol the corners is where it's at ! ðŸ˜…ðŸ˜…,2,5,
_ChainGangRick,1,11/2/15 9:16,@MarcelloCRT who you? I would love that!,1,4,
_ChainGangRick,1,11/2/15 9:16,@MarcelloCRT good,0,0,
_ChainGangRick,1,11/2/15 9:18,@MarcelloCRT too late told ya first. Did yiu ever get my text?,2,5,
_ChainGangRick,1,11/2/15 9:19,@MarcelloCRT it was a screen shot,2,5,
_ChainGangRick,1,11/2/15 9:47,@MarcelloCRT wow.,1,4,
_ChainGangRick,1,11/2/15 6:37,@MarcelloCRT aww weak sauce,3,1,
_ChainGangRick,1,11/2/15 17:30,@Gabe_g18 ðŸ˜‚ðŸ˜‚ dang so true... lol #deep,0,0,
_ChainGangRick,1,11/5/15 3:26,Playing a Taylor Swift song and all of a sudden.. I get a missed call from @halie_grimes coincidence I think not... ðŸ˜…â¤,2,5,
_ChainGangRick,1,11/5/15 3:29,@Gabe_g18 @halie_grimes #GabeKnows,0,0,
_ChainGangRick,1,11/2/15 16:52,Waking up sucks lol,3,2,
_ChainGangRick,1,11/5/15 3:29,@halie_grimes @WelchLit better watch yourself Noah that's my sister.,3,1,
_ChainGangRick,1,11/7/15 8:36,@halie_grimes it looks like I have no neck ðŸ˜…,3,2,
_ChainGangRick,1,11/7/15 8:38,@halie_grimes light out for salt master,2,5,
_cindyyyle,1,11/2/15 8:18,Bonding over anything and everything with you is my favorite.,1,3,
_cindyyyle,1,11/2/15 8:20,Honestly one of my best weekends by far.,1,4,
_ChainGangRick,1,11/7/15 8:37,@halie_grimes you're gross,3,1,
_cindyyyle,1,11/3/15 19:50,"It's crazy how much has changed, how much I've changed.",0,0,
_cindyyyle,1,11/4/15 7:37,@lastxwish Balloons are my favorite animals,1,3,
_cindyyyle,1,11/4/15 7:40,@lastxwish You know I can you love harder than any table glass girl you got,1,3,
_cindyyyle,1,11/4/15 7:45,"@lastxwish Cause we had our dark times, but I know this is where you belong.",0,0,
_cindyyyle,1,11/4/15 7:54,ðŸ˜‚â€œ@lastxwish: @_cindyyyle my face*â€,2,5,
_cindyyyle,1,11/4/15 20:09,I feel so conflicted right now ..,0,0,
_cindyyyle,1,11/2/15 19:40,So out of it today,3,2,
_cindyyyle,1,11/7/15 19:50,@torthea_chip get well soon ðŸ˜­,1,3,
_cindyyyle,1,11/8/15 6:39,Your first love is almost always never your last love.,2,5,
_cindyyyle,1,11/4/15 20:10,Stress on stress.,3,2,
_cindyyyle,1,11/8/15 6:48,But I'm glad that I don't have to hide that from my parents anymore.,1,4,
_cindyyyle,1,11/8/15 6:47,"The ""talk"" is awkward af, especially coming from my parents.",3,1,
_nicolenaranjo,1,11/3/15 0:47,GTFO.,0,0,
_nicolenaranjo,1,11/3/15 4:55,TBH https://t.co/QUDjsqscHG,0,0,
_nicolenaranjo,1,11/3/15 0:44,OMG PEOPLE ARE HAVING SEX IN THE SAME STUDY ROOM THAT I AM IN.,3,1,
_nicolenaranjo,1,11/5/15 9:56,My advice to young girls everywhere: stay away from boys. They are stupid. Study hard and educate yourself.,3,2,
