,Positive (1); Neutral (2) Negative (3),comment,,
"&acute;&acute; and celibacy. it&acute;s like gene&acute;s cause certain people to think in certain ways so babies won&acute;t be made. no it&acute;s not a joke thread and i too have thought that maybe homosexulaity is natures way of controlling the poplulation too..... what percentage of people are gay something like 10%, right? and besides, gay people still have kids. how the hell is a gay gonna have a kid?? the same way straight people have kids. um.....i think you should have a chat with your parents.",3,,,
"&acute;&acute; i understand money is hard to come by because i&acute;m poor as hell right now, but by the time re5 comes out you will be able to buy a 360+re5 for around $250. save .50 cents a day starting tomorrow and you&acute;ll get there. that would make the 360 $190. if re5 comes out in 2012 (which it won&acute;t), i&acute;m sure 360 will be that much. re5 won&acute;t be out until fall 2008/spring 2009, you don&acute;t think the core will be $200 by then?",2,,,
"[quote=&acute;neildneil&acute;] street fighter iv. oh my god this game is definitely down to skill as i lost 36 games online before i finally won one. also codmw2 i don&acute;t think is very skillful as on the few occasions i&acute;ve played online, i&acute;ve done pretty well, even winning once or twice, and i suck at shooters... and i really mean suck. thats not really skill as most sfiv players have their lil unbreakable move sets they use over and over, thats not skill thats just retarded",3,,,
"[quote=&acute;sorax64&acute;][quote=&acute;-eddy-&acute;][quote=&acute;sorax64&acute;] 64 is my second favorite number! :p holy crap! it just hit me...my favorite number, 32, is half of my second favorite number, 64! :o :o how do you feel about 16? how about 128? your age and internet connection? :p idk, they could be :? i&acute;m only 14...:p i love 64 because of the n64, and 32 is my favorite because i&acute;m just a stalker like that and that is the &acute;size&acute; of the girl i love. :p haha, ok i see. :lol:",1,,,
"&acute;&acute; i wouldn&acute;t think that nothing would be proved by going to the center of the earth aside from the fact that it&acute;s hot. is that not the only requirement for hell? or should we expect a welcomed dinner by a few demons? no. but we were starting from the hypothesis that hell was to be found by digging to the center of the earth. seriously, i could never believe hell to exist in the middle of a planet. it cannot be concrete like that.",2,,,
"&acute;&acute; why not cali? :( now i&acute;mma be 3 hours ahead of your ass haha. which island are you gonna be at? well my bro lives out there with his fiancee, about seriously 2 blocks from the beach. he asked me if i wanted to stay with him for awhile and i said why not. he lives on oahu. it&acute;s gonna be awesome. i hate where i live right now, especially since it&acute;s been in the teens lately and there&acute;s nothing but ice and snow.",1,both pos and neg,,
"j dilla-donuts gang starr-daily operation d&acute;angelo-voodoo, brown sugar cap&acute;n jazz-analphabetapolothology jeru the damaja-the sun rises in the east mobb deep=the infamous modest mouse- this is a long drive, the lonesome crowded west nas-illmatic neutral milk hotel-in the aeroplane over the sea biggie-ready to die oh no-dr. no&acute;s oxperiment onyx-bacdafucup organized konfusion-stress: the extinction agenda scarface-mr. scarface is back showbiz & a.g.-goodfellas slum village-fantastic vol 1 smif-n-wessun-dah shinin&acute; stevie wonder-innervisions sublime-sublime atcq-the low end theory ugk-ridin&acute; dirty ultramagnetic mc&acute;s-critical beatdown willie hutch-soul portrait my personal favorites",2,,,
"&acute;&acute; lmao. tht&acute;s funny as hell man. but yet seems a bit cruel to me to embarass her lik tht on live tv. trick deserves it imo.... lawl, that was so mean. paris hilton looked like she was about to cry. sarah silverman is hawt imo :-* ***** know one can ever agree with me on this. people don&acute;t think she&acute;s hawt? smh, ridiculously high standards ftl. only one of my friends think she&acute;s good looking besides me:? i don&acute;t think she&acute;s funny, but iwhi.",1,,,
"as a lakers fan, their play as of late is very concerning. the players around kobe haven&acute;t played well, and overall the lakers are sloppy as hell defensively at this point. but on the bright side, they are still 21-5, and it&acute;s still only december. there is alot of time left to work out their defensive issues, which i think is the main weakness of the lakers. you get that defense fixed up a little bit, you have a team that can challenge the celtics.",2,,,
"the heat are terrible cus they don&acute;t wanna work hard to become a good team. that&acute;s why they don&acute;t want riles to come back, cus he&acute;ll whip their asses into shape. team is a joke and i love it. lebj always has an excuse. first it was he had no teammates even though he won 60 games with them and now he&acute;s on a team with all nba performers and everyone wants to blame the coach. i wish he would just shut the hell up.",3,,,
